Reference_PC,Age
AD_18_B76_C1_O_0002,5.0
AD_18_B76_C1_O_0004,4.0
AD_18_B76_C1_O_0005,5.0
AD_18_B76_C1_O_0006,5.0
AD_18_B76_C1_O_0007,3.0
AD_18_B76_C1_O_0008,3.0
AD_18_B76_C1_O_0010,5.0
AD_18_B76_C1_O_0011,5.0
AD_18_B76_C1_O_0012,5.0
AD_18_B76_C1_O_0013,3.0
AD_18_B76_C1_O_0014,8.0
AD_18_B76_C1_O_0015,7.0
AD_18_B76_C1_O_0016,6.0
AD_18_B76_C1_O_0017,8.0
AD_18_B76_C1_O_0018,4.0
AD_18_B76_C1_O_0019,5.0
AD_18_B76_C1_O_0020,7.0
AD_18_B76_C1_O_0021,5.0
AD_18_B76_C1_O_0022,6.0
AD_18_B76_C1_O_0024,3.0
AD_18_B76_C1_O_0025,3.0
AD_18_B76_C1_O_0026,6.0
AD_18_B76_C1_O_0027,3.0
AD_18_B76_C1_O_0028,3.0
AD_18_B76_C1_O_0029,3.0
AD_18_B76_C1_O_0030,4.0
AD_18_B76_C1_O_0031,4.0
AD_18_B76_C1_O_0032,3.0
AD_18_B76_C1_O_0033,2.0
AD_18_B76_C1_O_0034,3.0
AD_18_B76_C1_O_0035,3.0
AD_18_B76_C1_O_0036,5.0
AD_18_B76_C1_O_0037,3.0
AD_18_B76_C1_O_0038,3.0
AD_18_B76_C1_O_0040,5.0
AD_18_B76_C1_O_0041,3.0
AD_18_B76_C1_O_0042,3.0
AD_18_B76_C1_O_0043,3.0
AD_18_B76_C1_O_0044,5.0
AD_18_B76_C1_O_0047,3.0
AD_18_B76_C1_O_0048,3.0
AD_18_B76_C1_O_0049,5.0
AD_18_B76_C1_O_0050,5.0
AD_18_B76_C1_O_0051,5.0
AD_18_B76_C1_O_0052,6.0
AD_18_B76_C1_O_0053,5.0
AD_18_B76_C1_O_0054,6.0
AD_18_B76_C1_O_0055,4.0
AD_18_B76_C1_O_0056,4.0
AD_18_B76_C1_O_0057,5.0
AD_18_B76_C1_O_0058,3.0
AD_18_B76_C1_O_0059,3.0
AD_18_B76_C1_O_0060,3.0
AD_18_B76_C1_O_0061,7.0
AD_18_B76_C1_O_0062,5.0
AD_18_B76_C1_O_0063,5.0
AD_18_B76_C1_O_0064,5.0
AD_18_B76_C1_O_0065,9.0
AD_18_B76_C1_O_0066,4.0
AD_18_B76_C1_O_0067,9.0
AD_18_B76_C1_O_0068,5.0
AD_18_B76_C1_O_0069,3.0
AD_18_B76_C1_O_0071,6.0
AD_18_B76_C1_O_0073,8.0
AD_18_B76_C1_O_0075,5.0
AD_18_B76_C1_O_0076,6.0
AD_18_B76_C1_O_0077,3.0
AD_18_B76_C1_O_0078,2.0
AD_18_B76_C1_O_0079,4.0
AD_18_B76_C1_O_0080,2.0
AD_18_B76_C1_O_0081,4.0
AD_18_B76_C1_O_0082,3.0
AD_18_B76_C1_O_0083,4.0
AD_18_B76_C1_O_0084,3.0
AD_18_B76_C1_O_0085,5.0
AD_18_B76_C1_O_0086,2.0
AD_18_B76_C1_O_0087,4.0
AD_18_B76_C1_O_0088,4.0
AD_18_B76_C1_O_0089,5.0
AD_18_B76_C1_O_0090,4.0
AD_18_B76_C1_O_0091,5.0
AD_18_B76_C1_O_0092,3.0
AD_18_B76_C1_O_0093,4.0
AD_18_B76_C1_O_0094,2.0
AD_18_B76_C1_O_0095,4.0
AD_18_B76_C1_O_0096,2.0
AD_18_B76_C1_O_0097,7.0
AD_18_B76_C1_O_0098,8.0
AD_18_B76_C1_O_0099,8.0
AD_18_B76_C1_O_0100,4.0
AD_18_B76_C1_O_0101,5.0
AD_18_B76_C1_O_0102,5.0
AD_18_B76_C1_O_0103,6.0
AD_18_B76_C1_O_0104,5.0
AD_18_B76_C1_O_0106,3.0
AD_18_B76_C1_O_0107,4.0
AD_18_B76_C1_O_0108,4.0
AD_18_B76_C1_O_0109,5.0
AD_18_B76_C1_O_0110,3.0
AD_18_B76_C1_O_0112,6.0
AD_18_B76_C1_O_0113,5.0
AD_18_B76_C1_O_0114,3.0
AD_18_B76_C1_O_0115,6.0
AD_18_B76_C1_O_0116,5.0
AD_18_B76_C1_O_0117,4.0
AD_18_B76_C1_O_0118,6.0
AD_18_B76_C1_O_0120,4.0
AD_18_B76_C1_O_0121,2.0
AD_18_B76_C1_O_0122,5.0
AD_18_B76_C1_O_0123,3.0
AD_18_B76_C1_O_0125,5.0
AD_18_B81_C1_O_0001,2.0
AD_18_B81_C1_O_0002,1.0
AD_18_B81_C1_O_0003,1.0
AD_18_B81_C1_O_0004,3.0
AD_18_B81_C1_O_0005,1.0
AD_18_B81_C1_O_0006,2.0
AD_18_B81_C1_O_0007,2.0
AD_18_B81_C1_O_0008,1.0
AD_18_B81_C1_O_0009,1.0
AD_18_B81_C1_O_0010,2.0
AD_18_B81_C1_O_0011,2.0
AD_18_B81_C1_O_0012,1.0
AD_18_B81_C1_O_0013,2.0
AD_18_B81_C1_O_0014,1.0
AD_18_B81_C1_O_0015,2.0
AD_18_B81_C1_O_0016,2.0
AD_18_B81_C1_O_0017,3.0
AD_18_B81_C1_O_0018,2.0
AD_18_B81_C1_O_0019,-1.0
AD_18_B81_C1_O_0020,4.0
AD_18_B81_C1_O_0021,2.0
AD_18_B81_C1_O_0022,2.0
AD_18_B81_C1_O_0023,2.0
AD_18_B81_C1_O_0024,2.0
AD_18_B81_C1_O_0025,2.0
AD_18_B81_C1_O_0026,4.0
AD_18_B81_C1_O_0027,1.0
AD_18_B81_C1_O_0028,2.0
AD_18_B81_C1_O_0029,1.0
AD_18_B81_C1_O_0030,2.0
AD_18_B81_C1_O_0031,3.0
AD_18_B81_C1_O_0032,3.0
AD_18_B81_C1_O_0033,2.0
AD_18_B81_C1_O_0034,2.0
AD_18_B81_C1_O_0035,3.0
AD_18_B81_C1_O_0036,2.0
AD_18_B81_C1_O_0037,3.0
AD_18_B81_C1_O_0038,2.0
AD_18_B81_C1_O_0039,3.0
AD_18_B81_C1_O_0040,2.0
AD_18_B81_C1_O_0042,3.0
AD_18_B81_C1_O_0044,2.0
AD_18_B81_C1_O_0045,3.0
AD_18_B81_C1_O_0046,3.0
AD_18_B81_C1_O_0047,3.0
AD_18_B81_C1_O_0048,5.0
AD_18_B81_C1_O_0049,3.0
AD_18_B81_C1_O_0050,3.0
AD_18_B81_C1_O_0051,3.0
AD_18_B81_C1_O_0052,3.0
AD_18_B81_C1_O_0053,2.0
AD_18_B81_C1_O_0054,4.0
AD_18_B81_C1_O_0055,3.0
AD_18_B81_C1_O_0056,3.0
AD_18_B81_C1_O_0057,4.0
AD_18_B81_C1_O_0058,3.0
AD_18_B81_C1_O_0059,4.0
AD_18_B81_C1_O_0060,3.0
AD_18_B81_C1_O_0061,3.0
AD_18_B81_C1_O_0062,4.0
AD_18_B81_C1_O_0063,4.0
AD_18_B81_C1_O_0064,4.0
AD_18_B81_C1_O_0065,2.0
AD_18_B81_C1_O_0066,1.0
AD_18_B81_C1_O_0067,1.0
AD_18_B81_C1_O_0068,1.0
AD_18_B81_C1_O_0069,4.0
AD_18_B81_C1_O_0070,4.0
AD_18_B82_C1_O_0001,1.0
AD_18_B82_C1_O_0002,1.0
AD_18_B82_C1_O_0003,1.0
AD_18_B82_C1_O_0004,1.0
AD_18_B82_C1_O_0005,1.0
AD_18_B82_C1_O_0006,1.0
AD_18_B82_C1_O_0007,1.0
AD_18_B82_C1_O_0008,1.0
AD_18_B82_C1_O_0009,1.0
AD_18_B82_C1_O_0010,1.0
AD_18_B82_C1_O_0011,0.0
AD_18_B82_C1_O_0012,0.0
AD_18_B82_C1_O_0013,1.0
AD_18_B82_C1_O_0014,1.0
AD_18_B82_C1_O_0015,1.0
AD_18_B82_C1_O_0016,0.0
AD_19_B25_C1_O_0001,4.0
AD_19_B25_C1_O_0002,3.0
AD_19_B25_C1_O_0003,3.0
AD_19_B25_C1_O_0004,3.0
AD_19_B25_C1_O_0006,5.0
AD_19_B25_C1_O_0007,3.0
AD_19_B25_C1_O_0008,2.0
AD_19_B25_C1_O_0010,3.0
AD_19_B25_C1_O_0011,2.0
AD_19_B25_C1_O_0012,3.0
AD_19_B25_C1_O_0013,6.0
AD_19_B25_C1_O_0014,3.0
AD_19_B25_C1_O_0015,3.0
AD_19_B25_C1_O_0016,3.0
AD_19_B25_C1_O_0017,3.0
AD_19_B25_C1_O_0018,3.0
AD_19_B25_C1_O_0020,3.0
AD_19_B25_C1_O_0021,2.0
AD_19_B25_C1_O_0022,3.0
AD_19_B25_C1_O_0023,3.0
AD_19_B25_C1_O_0024,2.0
AD_19_B25_C1_O_0026,2.0
AD_19_B25_C1_O_0027,3.0
AD_19_B25_C1_O_0028,3.0
AD_19_B25_C1_O_0029,5.0
AD_19_B25_C1_O_0030,4.0
AD_19_B25_C1_O_0031,2.0
AD_19_B25_C1_O_0032,3.0
AD_19_B25_C1_O_0033,3.0
AD_19_B25_C1_O_0034,5.0
AD_19_B25_C1_O_0035,3.0
AD_19_B25_C1_O_0036,3.0
AD_19_B25_C1_O_0037,2.0
AD_19_B25_C1_O_0038,4.0
AD_19_B25_C1_O_0039,6.0
AD_19_B25_C1_O_0040,3.0
AD_19_B25_C1_O_0041,4.0
AD_19_B25_C1_O_0042,5.0
AD_19_B25_C1_O_0043,3.0
AD_19_B25_C1_O_0044,2.0
AD_19_B25_C1_O_0045,2.0
AD_19_B25_C1_O_0047,5.0
AD_19_B25_C1_O_0048,3.0
AD_19_B25_C1_O_0049,3.0
AD_19_B25_C1_O_0050,4.0
AD_19_B25_C1_O_0051,3.0
AD_19_B25_C1_O_0052,5.0
AD_19_B25_C1_O_0053,6.0
AD_19_B25_C1_O_0054,3.0
AD_19_B25_C1_O_0055,5.0
AD_19_B25_C1_O_0056,5.0
AD_19_B25_C1_O_0057,3.0
AD_19_B25_C1_O_0058,5.0
AD_19_B25_C1_O_0059,4.0
