Navire;Engin;Code_Espece;Type_Longueur;Increment;Unite_Taille;Unite_Poids;Presentation;Maturite_Echelle;Type_PC;Preparation_PC;Poids_PC;Cat;Date;Numero_Trait;Lieu;Zone;Taille(mm);Taille;Poids(g);Poids;Sexe;Maturite;Age;Reference_Prelevement;Reference_PC
930675;TBB;1978;Longueur totale (LT);1;cm;g;Entier;5;Otolithe;ENTIER;-1;-1;24/08/1935;33;Penly;7D;230;23;111;111;M;2;3;125;MS_15_B52_C1_O_0125
868095;otb;1978;Longueur totale (LT);1;cm;g;Entier;6;Otolithe;-1;-1;-1;25/09/1935;T0535;CGFS;30F0;380;38;610;610;F;2B;6;26;MS_15_B91_C1_O_0026
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;250;25;162;162;F;2a;2;90;GBD_19_B40_C1_O_0090
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;370;37;508;508;F;4b;5;91;GBD_19_B40_C1_O_0091
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;270;27;200;200;F;4b;2;92;GBD_19_B40_C1_O_0092
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;200;20;76;76;M;1;2;93;GBD_19_B40_C1_O_0093
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;280;28;176;176;M;1;4;94;GBD_19_B40_C1_O_0094
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;220;22;98;98;M;1;1;95;GBD_19_B40_C1_O_0095
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;68;COMOR;7D;250;25;120;120;M;2;2;96;GBD_19_B40_C1_O_0096
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;69;COMOR;7D;280;28;212;212;M;1;3;97;GBD_19_B40_C1_O_0097
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;74;COMOR;7D;260;26;156;156;M;2;4;98;GBD_19_B40_C1_O_0098
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;75;COMOR;7D;360;36;484;484;F;4b;5;99;GBD_19_B40_C1_O_0099
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;75;COMOR;7D;260;26;172;172;M;2;4;100;GBD_19_B40_C1_O_0100
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;75;COMOR;7D;310;31;364;364;F;4b;4;101;GBD_19_B40_C1_O_0101
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;75;COMOR;7D;230;23;107;107;M;2;1;102;GBD_19_B40_C1_O_0102
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;210;21;96;96;M;1;1;103;GBD_19_B40_C1_O_0103
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;230;23;136;136;M;1;1;104;GBD_19_B40_C1_O_0104
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;270;27;200;200;M;2;2;105;GBD_19_B40_C1_O_0105
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;230;23;224;224;M;1;2;106;GBD_19_B40_C1_O_0106
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;320;32;246;246;M;2;5;107;GBD_19_B40_C1_O_0107
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;400;40;730;730;F;4b;6;108;GBD_19_B40_C1_O_0108
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;340;34;376;376;F;4b;3;109;GBD_19_B40_C1_O_0109
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;76;COMOR;7D;320;32;320;320;M;2;9;110;GBD_19_B40_C1_O_0110
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;220;22;116;116;F;2a;1;117;GBD_19_B40_C1_O_0117
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;250;25;162;162;F;2a;2;118;GBD_19_B40_C1_O_0118
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;320;32;324;324;F;4b;2;119;GBD_19_B40_C1_O_0119
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;300;30;236;236;M;2;4;120;GBD_19_B40_C1_O_0120
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;230;23;112;112;F;1;1;121;GBD_19_B40_C1_O_0121
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;300;30;226;226;M;2;3;122;GBD_19_B40_C1_O_0122
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;320;32;306;306;F;4b;-1;123;GBD_19_B40_C1_O_0123
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;330;33;340;340;M;2;4;124;GBD_19_B40_C1_O_0124
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;77;COMOR;7D;370;37;500;500;F;4b;5;125;GBD_19_B40_C1_O_0125
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;210;21;90;90;M;2;2;126;GBD_19_B40_C1_O_0126
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;300;30;340;340;F;2a;2;127;GBD_19_B40_C1_O_0127
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;420;42;636;636;F;4b;8;128;GBD_19_B40_C1_O_0128
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;260;26;200;200;F;1;1;129;GBD_19_B40_C1_O_0129
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;250;25;168;168;F;1;1;130;GBD_19_B40_C1_O_0130
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;380;38;576;576;F;4b;7;131;GBD_19_B40_C1_O_0131
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;260;26;206;206;F;1;1;132;GBD_19_B40_C1_O_0132
385795;DRB;1978;Longueur totale (LT);1;cm;g;entier;4+2;Otolithe;Entier;-1;-1;09/07/2001;78;COMOR;7D;190;19;60;60;M;1;1;133;GBD_19_B40_C1_O_0133
